"OCCP","mean_age_2016","unemployed_rate_2016","total_employ_2016","employ_prse_2016","jobs_per_1000_2016","mean_hourly_2016","mean_annual_2016","mean_prse_2016","mean_age_2019","unemployed_rate_2019","total_employ_2019","employ_prse_2019","jobs_per_1000_2019","mean_hourly_2019","mean_annual_2019","mean_prse_2019","emp_growth","wage_growth","shortage_ind","shortage","ACS Occupational Title"
"137",40.9820996613449,2.75761973875181,620,6.1,0.22,47,97750,2.2,42.992299229923,18.041804180418,590,6.9,0.206,54.3,112940,2.2,0.468181818181818,0.57769820971867,0,"No Shortage","Training and development managers"
"1460",41.5015474239942,2.63972328417987,10290,3.7,3.669,36.48,75870,0.9,43.7203426494765,3.64281387903435,12090,6.8,4.212,38.77,80650,1.5,0.573998364677024,0.531501252141822,0,"No Shortage","Mechanical engineers"
"1610",38.8956992888588,7.45005079580088,1670,11.05,0.593,30.86,64190,2.75,41.8458061275741,7.73480662983425,1700,19.875,0.591,32.645,67905,4.075,0.498313659359191,0.528937529210157,0,"No Shortage","Biological scientists"
"20",44.8854559607209,0.287407939644333,32350,1.4,11.533,56.44,117390,0.9,47.1451937948165,5.83962131508647,31490,1.6,10.973,63.09,131220,0.8,0.475721841671725,0.558906210069001,0,"No Shortage","General and operations managers"
"2040",54.7244553186531,1.01363159734359,620,10.4,0.222,22.65,47110,4.7,58.150542252765,0.214753570278106,540,5.2,0.187,25.87,53810,1.3,0.421171171171171,0.571110167692634,0,"No Shortage","Clergy"
"205",51.9493404702734,0.7264385394762,50,16.6,0.018,31.01,64500,4,52.7511068641503,0.856824335085205,80,20.5,0.027,35.54,73920,8,0.75,0.573023255813954,1,"Shortage","Farmers, ranchers, and other agricultural managers"
"2145",43.0964204427892,3.1657355679702,4690,10.7,1.673,23.13,48120,1.9,48.5301877219685,3.43311347877558,4670,5.9,1.629,24.22,50380,2.4,0.486849970113568,0.523482959268495,0,"No Shortage","Paralegals and legal assistants"
"220",45.7415450338199,2.42079031683873,2890,5.5,1.03,50.8,105660,1.9,49.3635985006247,0.358184089962516,3570,5.8,1.245,55.89,116240,1.5,0.604368932038835,0.550066250236608,1,"Shortage","Construction managers"
"230",46.0716094865301,0.569882569652314,9170,7.8,3.27,37.15,82320,3.575,47.2210433244916,0.781019746536988,8210,7.05,2.859,37.5233333333333,83277.5,2.45,0.437155963302752,0.505815719144801,0,"No Shortage","Education and childcare administrators"
"2300",35.2830987669697,2.30414746543779,11790,13.1,4.203,12.67,40200,2.5,39.695179007323,1.03742880390561,11730,7.9,4.087,13.07,42625,2.05,0.486200333095408,0.530161691542289,0,"No Shortage","Preschool and kindergarten teachers"
"2310",45.0037333463472,0.811331804206725,41670,14.9666666666667,14.857,NA,60903.3333333333,4.33333333333333,47.2102779481855,0.459314488855332,42320,13,14.745,NA,57946.6666666667,2.03333333333333,0.496230732987817,0.475726561217229,0,"No Shortage","Elementary and middle school teachers"
"2320",46.0911018310312,0.289110183103116,23310,12.5,8.308,NA,57250,1.4,43.3644947453517,4.6176232821342,18820,11.4,6.556,NA,59580,1.5,0.394559460760713,0.520349344978166,0,"No Shortage","Secondary school teachers"
"2710",34.6500875656743,4.93870402802102,1180,5.9,0.422,25.58,53210,3.1,45.9214966984593,5.72267057960381,1390,8.3,0.485,27.63,57470,3.4,0.574644549763033,0.540030069535802,0,"No Shortage","Producers and directors"
